clusterID,atomID,clusterSize,atomCoordx,atomCoordy,atomCoordz,xcm,ycm,zcm,rgxx,rgyy,rgzz,rgxy,rgxz,rgyz,l1,l2,l3,rg,asphericity,acylindricity,anisotropy,aspectratio
2150,2149,19,-1.8020358085632324,-10.603388786315918,-4.310819149017334,-0.615735477326732,-10.990116470738462,-5.467749570545397,0.506811544107418,0.6491087103751191,0.7470437642423222,-0.192997795855491,-0.2063318933723577,0.2852378008939627,0.3717598031438826,0.413367013250119,1.1178372023308571,1.3794796188145944,0.7252737941338564,0.0416072101062364,0.1456174620880732,1.734035821389611
2171,2170,19,9.739571571350098,8.35756778717041,25.978952407836918,8.734666924727591,8.50171779331408,26.441638544986123,0.685768388866242,0.747049366628298,0.3447549835800903,-0.0852391092066191,-0.0623606840729954,0.1075918432063235,0.3132914667479586,0.626152892926904,0.8381283793997667,1.333256441602526,0.3684061995623353,0.3128614261789453,0.0661868342361252,1.6356146437556645
2191,2190,23,19.62332534790039,5.10340690612793,20.639265060424805,20.219460694686227,5.313568281090778,21.812652090321414,0.8317581471915381,0.5546379957778893,1.1495044865531006,0.2888985538960272,0.5090012352920342,0.2144993544923513,0.3499683641919756,0.5515388955210456,1.6343933698095074,1.592451138817932,1.183639739952997,0.20157053132907,0.2225971610798638,2.1610454564856743
2271,2270,12,14.794631958007812,24.064136505126957,12.301568984985352,15.420766830444336,24.57532993952433,13.23739210764567,0.408483845264224,0.4831706506692828,0.367842343478565,0.1226936282225021,0.0688286634373677,-0.0316049809137237,0.2641793143506228,0.4199358783237424,0.5753816467377066,1.122273068113136,0.233324050400524,0.1557565639731196,0.0457881324347414,1.4758037110448092
2290,2289,20,16.844942092895508,23.754240036010746,5.275392055511475,17.61057949066162,23.513726329803468,5.277361917495727,0.4191310897867879,0.5875414182222721,1.1183678663336627,-0.3146137303446267,0.0065647073380659,-0.0102848361435508,0.1776476308015515,0.8285139200262532,1.1188788235149174,1.4577518219308534,0.615798048101015,0.6508662892247017,0.1543310059682445,2.5096422502626705
2331,2330,17,-15.795949935913086,11.354931831359863,-19.91210556030273,-15.142740530126234,11.23073039335363,-20.12616516562069,0.4088128770631572,0.7235233118310926,0.4957799190866279,-0.1151190317771116,0.0082090297914166,0.124495746874751,0.3517868111981428,0.4711505423793984,0.8051787544033372,1.2759765311246436,0.3937100776145665,0.1193637311812556,0.0625078361011843,1.5128866020267016
2351,2350,11,-19.84886932373047,11.56490993499756,-21.86117935180664,-20.751855676824395,11.94122011011297,-22.876448197798297,0.4155714992570405,0.3010389845052681,0.4632923687009784,-0.0805156580400379,0.1361176201453493,-0.0295134378936705,0.2492018766251831,0.333965798939184,0.5967351768989205,1.0862333324213944,0.305151339116737,0.0847639223140009,0.0707571483442906,1.5474447989952915
2390,2389,18,-26.97402572631836,7.861227512359619,-22.49138641357422,-26.103740586174855,6.442931016286214,-23.24843470255534,0.6616606644434281,0.5931345563383021,0.4615261292941189,0.0193878145624963,-0.0078618291980226,0.2599993131271832,0.258319137249529,0.6616569198789374,0.7963452929473827,1.3100844820376467,0.3363572643831495,0.4033377826294084,0.0798256871432694,1.7557893803249955
2411,2410,18,-5.726841449737549,11.119181632995604,17.590972900390625,-5.114703880416022,12.463767475552029,18.67256757948134,0.4945130282968299,0.8652862326293591,0.4954589459840115,0.0470862700101855,0.0248240057324965,0.3684851239517746,0.2680350573833303,0.4898923122684609,1.0973308372584083,1.3620786346280451,0.7183671524325127,0.2218572548851306,0.1606535664337379,2.0233592145206747
2431,2430,19,-7.333649158477783,16.637977600097656,5.766753673553467,-6.887017350447805,17.430947604932282,6.55203114057842,0.6068650787583124,0.8842052377635621,0.3476080590572512,0.2326095854672306,-0.0082908406307088,-0.0586693448511826,0.339612876514636,0.4782063810027049,1.020859118061785,1.355978751890724,0.6119494893031145,0.1385935044880689,0.1150305873017455,1.7337673971012353
2450,2449,14,-14.399897575378418,13.484084129333496,2.113358974456787,-15.672515119825093,12.836063180650983,1.4696962258645467,0.6251791107229991,0.3528450916788615,0.4641885231579397,0.0980698203906128,0.0349528916908663,0.033665001356716,0.3179763842749321,0.4579491709372511,0.6662871703476175,1.2009216150772708,0.2783243927415259,0.139972786662319,0.0443075712701903,1.447549061417968
2470,2469,18,-11.068065643310549,4.912453651428223,1.552394151687622,-11.01590304904514,3.6784628894593983,1.9194521870878007,0.9890182984296008,0.6247616888721277,0.2505954169775133,-0.1998845354922864,0.1036411293000502,-0.0787026528940913,0.2287582251939976,0.5393223607663813,1.0962948183188634,1.3654213284840846,0.712254525338674,0.3105641355723836,0.1667610680180332,2.189148997636135
2511,2510,19,11.371807098388672,-20.037797927856445,15.2904052734375,10.534033524362664,-19.620121002197266,14.53101524553801,1.1021824861246765,0.561945074196142,0.2789528834150121,0.0523744270370738,0.2366786329423317,-0.0412838679471621,0.2076724326985825,0.5673847454694753,1.168023265567772,1.393944203953598,0.7804946764837432,0.3597123127708927,0.1870494309941102,2.3715720403057623
2651,2650,20,20.93896484375,-20.112266540527344,-1.511064887046814,22.080063247680663,-19.77517156600952,-0.8665785867720842,0.6584564549505012,0.5306382088071677,0.8481618815426402,0.1235605808858235,0.1532182289682447,-0.3267122570372373,0.2420249128716045,0.7310566570577104,1.0641749753709948,1.4273249613526382,0.5776341904063373,0.4890317441861059,0.1236082146127013,2.0968940375656304
2690,2689,27,15.944169044494627,-20.013574600219727,1.6427814960479736,15.528424192357946,-19.25707633407028,2.144560432544461,0.7842456417946965,0.6461732833897073,1.9095928361085837,0.3400476760909594,-0.7536068563808899,-0.6720598423511421,0.352797651802166,0.4065523222524756,2.5806617872383457,1.827569905993472,2.200986800211025,0.0537546704503095,0.434443323161451,2.704597876037614
2731,2730,19,-0.6420899629592896,-6.589117050170898,-2.968996524810791,1.04330625855609,-5.361090660095215,-3.097419908172206,0.7662117205770516,0.6491099862443996,0.4780533397307895,0.2878357189332094,0.2470869731881014,0.1357476827939374,0.3315014177596748,0.4403498371951089,1.1215237915974563,1.3759996535436485,0.7355981641200646,0.108848419435434,0.1534200085420631,1.8393380302141016
2751,2750,19,5.076574325561523,-3.365356683731079,-7.55275821685791,5.920449005930047,-2.202465353827728,-8.506932609959653,0.5169172828599625,0.7770467446227476,0.4808524604795783,0.0336061309006955,-0.0449919085541268,-0.0030683444705729,0.44958080296915,0.5436585683228132,0.7815771166703251,1.332222386826722,0.2849574310243435,0.0940777653536632,0.0278855378013807,1.3185057812965733
2770,2769,20,9.483602523803713,-3.005759954452514,-12.878548622131348,10.240348863601684,-4.341037154197693,-13.982191514968871,0.5580237649539845,0.8118891770855754,0.5407593395684194,0.0305134396400433,-0.224613591343475,0.041113334364212,0.31937505938921,0.7732136882547611,0.8180835339640088,1.3822706976594634,0.2717891601420232,0.4538386288655511,0.0625492205396713,1.6004729064702057
2790,2789,29,8.310141563415527,3.646472215652466,-13.938372611999512,9.45068227833715,3.2901862571979392,-15.30633492305361,2.02001621748132,0.3453801592376867,1.709011078334389,-0.0121854445743551,-1.424226791638577,-0.0574125552732944,0.321605786186051,0.4553071261082249,3.297494542759117,2.0185161517940333,2.909038086611979,0.1337013399221738,0.5105724791464028,3.202064795467736
2811,2810,33,3.6634328365325928,16.059371948242188,5.436255931854248,2.788643096432541,14.621249747998789,5.469854499354507,0.736678204196095,3.2839251916191268,0.724173797002763,1.1653257190141388,-0.3152223877554442,-0.7149301546764775,0.279452376689295,0.5384694934650901,3.926855322663602,2.178250948081508,3.517894387586409,0.259017116775795,0.5519454386792386,3.748595216334364
